Race,Category,Name,Bib,Chip,Start Time,End Time,Lap,Lap time
CXR 4 - Frontier Park,Cat. 4 Men,MARIO RIVAS,7,13332,2017-10-29 09:24:49.250000,2017-10-29 09:57:16.780000,2,0:10:49.510000
CXR 4 - Frontier Park,Cat. 4 Men,MARIO RIVAS,7,13332,2017-10-29 09:24:49.250000,2017-10-29 09:57:16.780000,3,0:10:49.510000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL COPENHAVER,1608,10390,2017-10-29 09:24:50.750000,2017-10-29 10:01:17.280000,1,0:11:48.810000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL COPENHAVER,1608,10390,2017-10-29 09:24:50.750000,2017-10-29 10:01:17.280000,2,0:12:37.460000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL COPENHAVER,1608,10390,2017-10-29 09:24:50.750000,2017-10-29 10:01:17.280000,3,0:12:00.260000
CXR 4 - Frontier Park,Cat. 4 Men,RONAN CAHILL,155,9815,2017-10-29 09:24:51.060000,2017-10-29 09:57:10.040000,1,0:10:47.700000
CXR 4 - Frontier Park,Cat. 4 Men,RONAN CAHILL,155,9815,2017-10-29 09:24:51.060000,2017-10-29 09:57:10.040000,2,0:10:45.010000
CXR 4 - Frontier Park,Cat. 4 Men,RONAN CAHILL,155,9815,2017-10-29 09:24:51.060000,2017-10-29 09:57:10.040000,3,0:10:46.270000
CXR 4 - Frontier Park,Cat. 4 Men,ANDY BAKER,246,877,2017-10-29 09:24:59.250000,2017-10-29 09:58:13.090000,1,0:11:05.770000
CXR 4 - Frontier Park,Cat. 4 Men,ANDY BAKER,246,877,2017-10-29 09:24:59.250000,2017-10-29 09:58:13.090000,2,0:11:05.750000
CXR 4 - Frontier Park,Cat. 4 Men,ANDY BAKER,246,877,2017-10-29 09:24:59.250000,2017-10-29 09:58:13.090000,3,0:11:02.320000
CXR 4 - Frontier Park,Cat. 4 Men,SAMMY WALKER,70,11730,2017-10-29 09:25:03.250000,2017-10-29 10:00:55.350000,1,0:11:35.510000
CXR 4 - Frontier Park,Cat. 4 Men,SAMMY WALKER,70,11730,2017-10-29 09:25:03.250000,2017-10-29 10:00:55.350000,2,0:12:24.260000
CXR 4 - Frontier Park,Cat. 4 Men,SAMMY WALKER,70,11730,2017-10-29 09:25:03.250000,2017-10-29 10:00:55.350000,3,0:11:52.330000
CXR 4 - Frontier Park,Cat. 4 Men,JAMES BENSON,139,246,2017-10-29 09:25:04.750000,2017-10-29 09:58:35.280000,1,0:11:14.510000
CXR 4 - Frontier Park,Cat. 4 Men,JAMES BENSON,139,246,2017-10-29 09:25:04.750000,2017-10-29 09:58:35.280000,2,0:11:01.270000
CXR 4 - Frontier Park,Cat. 4 Men,JAMES BENSON,139,246,2017-10-29 09:25:04.750000,2017-10-29 09:58:35.280000,3,0:11:14.750000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL CHATEN,8,9928,2017-10-29 09:25:07.250000,2017-10-29 09:59:23.030000,1,0:11:01.070000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL CHATEN,8,9928,2017-10-29 09:25:07.250000,2017-10-29 09:59:23.030000,2,0:11:29.700000
CXR 4 - Frontier Park,Cat. 4 Men,MICHAEL CHATEN,8,9928,2017-10-29 09:25:07.250000,2017-10-29 09:59:23.030000,3,0:11:45.010000
CXR 4 - Frontier Park,Cat. 4 Men,DEREK LEE,185,13728,2017-10-29 09:25:10.500000,2017-10-29 09:58:34.030000,1,0:11:04.270000
CXR 4 - Frontier Park,Cat. 4 Men,DEREK LEE,185,13728,2017-10-29 09:25:10.500000,2017-10-29 09:58:34.030000,2,0:11:14.070000
CXR 4 - Frontier Park,Cat. 4 Men,DEREK LEE,185,13728,2017-10-29 09:25:10.500000,2017-10-29 09:58:34.030000,3,0:11:05.190000
CXR 4 - Frontier Park,Cat. 4 Men,TONY PARKER,202,3273,2017-10-29 09:25:13.750000,2017-10-29 10:01:11.790000,1,0:11:44.560000
CXR 4 - Frontier Park,Cat. 4 Men,TONY PARKER,202,3273,2017-10-29 09:25:13.750000,2017-10-29 10:01:11.790000,2,0:12:30.460000
CXR 4 - Frontier Park,Cat. 4 Men,TONY PARKER,202,3273,2017-10-29 09:25:13.750000,2017-10-29 10:01:11.790000,3,0:11:43.020000
CXR 4 - Frontier Park,Cat. 4 Men,STEPHEN SNIDER,119,915,2017-10-29 09:25:15.250000,2017-10-29 09:58:38.790000,1,0:11:14.270000
CXR 4 - Frontier Park,Cat. 4 Men,STEPHEN SNIDER,119,915,2017-10-29 09:25:15.250000,2017-10-29 09:58:38.790000,2,0:11:11.260000
CXR 4 - Frontier Park,Cat. 4 Men,STEPHEN SNIDER,119,915,2017-10-29 09:25:15.250000,2017-10-29 09:58:38.790000,3,0:10:58.010000
CXR 4 - Frontier Park,Cat. 4 Men,AIDAN CORDERO,394,13996,2017-10-29 09:25:16.500000,2017-10-29 09:50:07.030000,1,0:11:53.770000
CXR 4 - Frontier Park,Cat. 4 Men,AIDAN CORDERO,394,13996,2017-10-29 09:25:16.500000,2017-10-29 09:50:07.030000,2,0:12:56.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK DOANE,421,9537,2017-10-29 09:25:32,2017-10-29 09:57:44.780000,1,0:10:35.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK DOANE,421,9537,2017-10-29 09:25:32,2017-10-29 09:57:44.780000,2,0:10:46.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,MARK DOANE,421,9537,2017-10-29 09:25:32,2017-10-29 09:57:44.780000,3,0:10:51.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DANIEL TOMKO,418,10301,2017-10-29 09:25:33.010000,2017-10-29 09:58:16.530000,1,0:10:49.250000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DANIEL TOMKO,418,10301,2017-10-29 09:25:33.010000,2017-10-29 09:58:16.530000,2,0:11:04.010000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,DANIEL TOMKO,418,10301,2017-10-29 09:25:33.010000,2017-10-29 09:58:16.530000,3,0:10:50.260000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRIS KAISER,538,6894,2017-10-29 09:25:37.510000,2017-10-29 09:58:12.540000,1,0:10:45.760000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRIS KAISER,538,6894,2017-10-29 09:25:37.510000,2017-10-29 09:58:12.540000,2,0:10:49.500000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,CHRIS KAISER,538,6894,2017-10-29 09:25:37.510000,2017-10-29 09:58:12.540000,3,0:10:59.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM WUJICK,419,2677,2017-10-29 09:25:42,2017-10-29 09:58:34.020000,1,0:10:56.060000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM WUJICK,419,2677,2017-10-29 09:25:42,2017-10-29 09:58:34.020000,2,0:10:59.220000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ADAM WUJICK,419,2677,2017-10-29 09:25:42,2017-10-29 09:58:34.020000,3,0:10:56.740000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREA BOGNI,464,8529,2017-10-29 09:25:42.310000,2017-10-29 09:58:53.280000,1,0:10:55.210000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREA BOGNI,464,8529,2017-10-29 09:25:42.310000,2017-10-29 09:58:53.280000,2,0:11:13.560000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,ANDREA BOGNI,464,8529,2017-10-29 09:25:42.310000,2017-10-29 09:58:53.280000,3,0:11:02.200000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,STEPHEN PULLMAN,796,13920,2017-10-29 09:25:43,2017-10-29 09:58:50.540000,1,0:10:53.770000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,STEPHEN PULLMAN,796,13920,2017-10-29 09:25:43,2017-10-29 09:58:50.540000,2,0:10:51.510000
CXR 4 - Frontier Park,Cat 4 Master Men age 35+,STEPHEN PULLMAN,796,13920,2017-10-29 09:25:43,2017-10-29 09:58:50.540000,3,0:11:22.260000
